Comp,Solvent,T of comp,T of solv,Conc of comp,mean_particle_size_(mps),Polar_dispersity,Area_Sphere_Substance
156,1,23,23,0.0001,566.3637931,0.303886926,0.4424
156,1,23,4,0.0001,538.8205962,0.371057514,0.4434
156,1,4,23,0.0001,221.9555912,0.315315315,0.1225
156,1,23,23,0.00001,272.2339271,0.558823529,0.3281
156,2,23,23,0.0001,551.9319298,0.391304348,0.451
156,2,23,23,0.00001,262.3594615,0.385496183,0.0391
159,1,23,23,0.0001,0,0,0
159,1,23,23,0.00001,423.3731986,0.34751773,0.4323
159,2,23,23,0.0001,333.6622115,0.655688623,0.2474
159,2,23,23,0.00001,290.4112237,0.265517241,0.2629
159,1,23,4,0.0001,703.2770952,0.139082058,0.2474
159,1,4,23,0.0001,0,0,0
