Comp,Solvent,T of comp,T of solv,Conc of comp,Area_Sphere_Substance,hydrophilic_section,hydrophbic_section,hydrophilic,VSA_EState2,Estate_VSA8_C,Estate_VSA8_S,SlogP_VSA4_C,SlogP_VSA4_S,EState_VSA2,EState_VSA10,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,TPSA
156,1,23,23,0.0001,0.4424,0.578597351,0.549443392,1074.3192,6.492710408,131.6157829,0,0,0,33.15898554,10.21305479,6,2,2,77.38
156,1,23,4,0.0001,0.4434,0.578597351,0.549443392,1074.3192,6.492710408,131.6157829,0,0,0,33.15898554,10.21305479,6,2,2,77.38
156,1,4,23,0.0001,0.1225,0.578597351,0.549443392,1074.3192,6.492710408,131.6157829,0,0,0,33.15898554,10.21305479,6,2,2,77.38
156,1,23,23,0.00001,0.3281,0.578597351,0.549443392,1074.3192,6.492710408,131.6157829,0,0,0,33.15898554,10.21305479,6,2,2,77.38
156,2,23,23,0.0001,0.451,0.590874574,0.55182085,1068.2255,6.492710408,131.6157829,19.05647134,0,6.9237372,33.15898554,10.21305479,6,2,2,77.38
156,2,23,23,0.00001,0.0391,0.590874574,0.55182085,1068.2255,6.492710408,131.6157829,19.05647134,0,6.9237372,33.15898554,10.21305479,6,2,2,77.38
159,1,23,23,0.0001,0,0.433543786,0.509058201,3387.1829,49.04302338,0,0,40.45727308,0,167.8720266,40.45727308,22,3,3,264.86
159,1,23,23,0.00001,0.4323,0.433543786,0.509058201,3387.1829,49.04302338,0,0,40.45727308,0,167.8720266,40.45727308,22,3,3,264.86
159,2,23,23,0.0001,0.2474,0.43329201,0.516995726,3435.9498,49.04302338,0,19.05647134,40.45727308,6.9237372,167.8720266,40.45727308,22,3,3,264.86
159,2,23,23,0.00001,0.2629,0.43329201,0.516995726,3435.9498,49.04302338,0,19.05647134,40.45727308,6.9237372,167.8720266,40.45727308,22,3,3,264.86
159,1,23,4,0.0001,0.2474,0.433543786,0.509058201,3387.1829,49.04302338,0,0,40.45727308,0,167.8720266,40.45727308,22,3,3,264.86
159,1,4,23,0.0001,0,0.433543786,0.509058201,3387.1829,49.04302338,0,0,40.45727308,0,167.8720266,40.45727308,22,3,3,264.86
