Comp,Solvent,T of comp,T of solv,Conc of comp,mean_particle_size_(mps),Std_dev_(mps),dispersity,full_mol_vol,hydrophilic,hydrophobic,Full_molecule,hydrophilic_section,hydrophbic_section
156,Chloroform,23,23,0.0001,566,172,0.303886926,6452.7094,1074.3192,2072.3068,0.584598249,0.578597351,0.549443392
156,Chloroform,23,4,0.0001,539,200,0.371057514,6452.7094,1074.3192,2072.3068,0.584598249,0.578597351,0.549443392
156,Chloroform,4,23,0.0001,222,70,0.315315315,6452.7094,1074.3192,2072.3068,0.584598249,0.578597351,0.549443392
156,Chloroform,23,23,0.00001,272,152,0.558823529,6452.7094,1074.3192,2072.3068,0.584598249,0.578597351,0.549443392
156,Chloroform - H2O ,23,23,0.0001,172,116,0.674418605,6452.7094,1074.3192,2072.3068,0.584598249,0.578597351,0.549443392
156,Chloroform - H2O ,23,23,0.00001,89,24,0.269662921,6452.7094,1074.3192,2072.3068,0.584598249,0.578597351,0.549443392
156,Toluene,23,23,0.0001,552,216,0.391304348,6413.6896,1068.2255,4871.1334,0.587235411,0.590874574,0.55182085
156,Toluene,23,23,0.00001,262,101,0.385496183,6413.6896,1068.2255,4871.1334,0.587235411,0.590874574,0.55182085
159,Chloroform,23,23,0.0001,0,0,0,6596.4046,3387.1829,2072.3068,0.670052271,0.433543786,0.509058201
159,Chloroform,23,23,0.00001,423,147,0.34751773,6596.4046,3387.1829,2072.3068,0.670052271,0.433543786,0.509058201
159,Toluene,23,23,0.0001,334,219,0.655688623,6637.7446,3435.9498,2105.4161,0.651589779,0.43329201,0.516995726
159,Toluene,23,23,0.00001,290,77,0.265517241,6637.7446,3435.9498,2105.4161,0.651589779,0.43329201,0.516995726
159,Chloroform,23,4,0.0001,719,100,0.139082058,6596.4046,3387.1829,2072.3068,0.670052271,0.433543786,0.509058201
159,Chloroform,4,23,0.0001,0,0,0,6596.4046,3387.1829,2072.3068,0.670052271,0.433543786,0.509058201
